IX,IY,IZ,CU,AU,density,economic value process,economic value waste
1,1,1,0,0,2.26667,-299880,-55080
1,1,2,0,0,2.26667,-299880,-55080
1,1,3,0,0,2.26667,-299880,-55080
1,1,4,0,0,2.26667,-299880,-55080
1,1,5,0,0,2.26667,-299880,-55080
1,1,6,0,0,2.26667,-299880,-55080
1,1,7,0,0,2.26667,-299880,-55080
1,1,8,0,0,2.26667,-299880,-55080
1,1,9,0,0,2.26667,-299880,-55080
1,1,10,0,0,2.26667,-299880,-55080
1,1,11,0,0,2.26667,-299880,-55080
1,1,12,0,0,2.26667,-299880,-55080
1,1,13,0,0,2.26667,-299880,-55080
1,1,14,0,0,1.94458,-257267,-47253.2
1,2,1,0,0,2.26667,-299880,-55080
1,2,2,0,0,2.26667,-299880,-55080
1,2,3,0,0,2.26667,-299880,-55080
1,2,4,0,0,2.26667,-299880,-55080
1,2,5,0,0,2.26667,-299880,-55080
1,2,6,0,0,2.26667,-299880,-55080
1,2,7,0,0,2.26667,-299880,-55080
1,2,8,0,0,2.26667,-299880,-55080
1,2,9,0,0,2.26667,-299880,-55080
1,2,10,0,0,2.26667,-299880,-55080
1,2,11,0,0,2.26667,-299880,-55080
1,2,12,0,0,2.26667,-299880,-55080
1,2,13,0,0,2.26667,-299880,-55080
1,2,14,0,0,2.02668,-268129,-49248.2
1,3,1,0,0,2.26667,-299880,-55080
1,3,2,0,0,2.26667,-299880,-55080
1,3,3,0,0,2.26667,-299880,-55080
1,3,4,0,0,2.26667,-299880,-55080
1,3,5,0,0,2.26667,-299880,-55080
1,3,6,0,0,2.26667,-299880,-55080
1,3,7,0,0,2.26667,-299880,-55080
1,3,8,0,0,2.26667,-299880,-55080
1,3,9,0,0,2.26667,-299880,-55080
1,3,10,0,0,2.26667,-299880,-55080
1,3,11,0,0,2.26667,-299880,-55080
1,3,12,0,0,2.26667,-299880,-55080
1,3,13,0,0,2.26667,-299880,-55080
1,3,14,0,0,2.08721,-276137,-50719.1
1,4,1,0,0,2.26667,-299880,-55080
1,4,2,0,0,2.26667,-299880,-55080
1,4,3,0,0,2.26667,-299880,-55080
1,4,4,0,0,2.26667,-299880,-55080
1,4,5,0,0,2.26667,-299880,-55080
1,4,6,0,0,2.26667,-299880,-55080
1,4,7,0,0,2.26667,-299880,-55080
1,4,8,0,0,2.26667,-299880,-55080
1,4,9,0,0,2.26667,-299880,-55080
1,4,10,0,0,2.26667,-299880,-55080
1,4,11,0,0,2.26667,-299880,-55080
1,4,12,0,0,2.26667,-299880,-55080
1,4,13,0,0,2.26667,-299880,-55080
1,4,14,0,0,2.11193,-279408,-51319.9
1,5,1,0,0,2.26667,-299880,-55080
1,5,2,0,0,2.26667,-299880,-55080
1,5,3,0,0,2.26667,-299880,-55080
1,5,4,0,0,2.26667,-299880,-55080
1,5,5,0,0,2.26667,-299880,-55080
1,5,6,0,0,2.26667,-299880,-55080
1,5,7,0,0,2.26667,-299880,-55080
1,5,8,0,0,2.26667,-299880,-55080
1,5,9,0,0,2.26667,-299880,-55080
1,5,10,0,0,2.26667,-299880,-55080
1,5,11,0,0,2.26667,-299880,-55080
1,5,12,0,0,2.26667,-299880,-55080
1,5,13,0,0,2.26667,-299880,-55080
1,5,14,0,0,2.12836,-281582,-51719.2
1,6,1,0,0,2.26667,-299880,-55080
1,6,2,0,0,2.26667,-299880,-55080
1,6,3,0,0,2.26667,-299880,-55080
1,6,4,0,0,2.26667,-299880,-55080
1,6,5,0,0,2.26667,-299880,-55080
1,6,6,0,0,2.26667,-299880,-55080
1,6,7,0,0,2.26667,-299880,-55080
1,6,8,0,0,2.26667,-299880,-55080
1,6,9,0,0,2.26667,-299880,-55080
1,6,10,0,0,2.26667,-299880,-55080
1,6,11,0,0,2.26667,-299880,-55080
1,6,12,0,0,2.26667,-299880,-55080
1,6,13,0,0,2.26667,-299880,-55080
1,6,14,0,0,2.15782,-285479,-52435
1,7,1,0,0,2.26667,-299880,-55080
1,7,2,0,0,2.26667,-299880,-55080
1,7,3,0,0,2.26667,-299880,-55080
1,7,4,0,0,2.26667,-299880,-55080
1,7,5,0,0,2.26667,-299880,-55080
1,7,6,0,0,2.26667,-299880,-55080
1,7,7,0,0,2.26667,-299880,-55080
1,7,8,0,0,2.26667,-299880,-55080
1,7,9,0,0,2.26667,-299880,-55080
1,7,10,0,0,2.26667,-299880,-55080
1,7,11,0,0,2.26667,-299880,-55080
1,7,12,0,0,2.26667,-299880,-55080
1,7,13,0,0,2.26667,-299880,-55080
1,7,14,0,0,2.17584,-287863,-52872.9
1,8,1,0,0,2.26667,-299880,-55080
1,8,2,0,0,2.26667,-299880,-55080
1,8,3,0,0,2.26667,-299880,-55080
1,8,4,0,0,2.26667,-299880,-55080
1,8,5,0,0,2.26667,-299880,-55080
1,8,6,0,0,2.26667,-299880,-55080
1,8,7,0,0,2.26667,-299880,-55080
1,8,8,0,0,2.26667,-299880,-55080
1,8,9,0,0,2.26667,-299880,-55080
1,8,10,0,0,2.26667,-299880,-55080
1,8,11,0,0,2.26667,-299880,-55080
1,8,12,0,0,2.26667,-299880,-55080
1,8,13,0,0,2.26667,-299880,-55080
1,8,14,0,0,2.10165,-278048,-51070.1
1,9,1,0,0,2.26667,-299880,-55080
1,9,2,0,0,2.26667,-299880,-55080
1,9,3,0,0,2.26667,-299880,-55080
1,9,4,0,0,2.26667,-299880,-55080
1,9,5,0,0,2.26667,-299880,-55080
1,9,6,0,0,2.26667,-299880,-55080
1,9,7,0,0,2.26667,-299880,-55080
1,9,8,0,0,2.26667,-299880,-55080
1,9,9,0,0,2.26667,-299880,-55080
1,9,10,0,0,2.26667,-299880,-55080
1,9,11,0,0,2.26667,-299880,-55080
1,9,12,0,0,2.26667,-299880,-55080
1,9,13,0,0,2.26667,-299880,-55080
1,9,14,0,0,2.10463,-278442,-51142.4
1,10,1,0,0,2.26667,-299880,-55080
1,10,2,0,0,2.26667,-299880,-55080
1,10,3,0,0,2.26667,-299880,-55080
1,10,4,0,0,2.26667,-299880,-55080
1,10,5,0,0,2.26667,-299880,-55080
1,10,6,0,0,2.26667,-299880,-55080
1,10,7,0,0,2.26667,-299880,-55080
1,10,8,0,0,2.26667,-299880,-55080
1,10,9,0,0,2.26667,-299880,-55080
1,10,10,0,0,2.26667,-299880,-55080
1,10,11,0,0,2.26667,-299880,-55080
1,10,12,0,0,2.26667,-299880,-55080
1,10,13,0,0,2.26667,-299880,-55080
1,10,14,0,0,2.13977,-283091,-51996.3
1,11,1,0,0,2.26667,-299880,-55080
1,11,2,0,0,2.26667,-299880,-55080
1,11,3,0,0,2.26667,-299880,-55080
1,11,4,0,0,2.26667,-299880,-55080
1,11,5,0,0,2.26667,-299880,-55080
1,11,6,0,0,2.26667,-299880,-55080
1,11,7,0,0,2.26667,-299880,-55080
1,11,8,0,0,2.26667,-299880,-55080
1,11,9,0,0,2.26667,-299880,-55080
1,11,10,0,0,2.26667,-299880,-55080
1,11,11,0,0,2.26667,-299880,-55080
1,11,12,0,0,2.26667,-299880,-55080
1,11,13,0,0,2.26667,-299880,-55080
1,11,14,0,0,2.23185,-295273,-54233.9
1,11,15,0,0,0.00220404,-291.594,-53.5581
1,12,1,0,0,2.26667,-299880,-55080
1,12,2,0,0,2.26667,-299880,-55080
1,12,3,0,0,2.26667,-299880,-55080
1,12,4,0,0,2.26667,-299880,-55080
1,12,5,0,0,2.26667,-299880,-55080
1,12,6,0,0,2.26667,-299880,-55080
1,12,7,0,0,2.26667,-299880,-55080
1,12,8,0,0,2.26667,-299880,-55080
1,12,9,0,0,2.26667,-299880,-55080
1,12,10,0,0,2.26667,-299880,-55080
1,12,11,0,0,2.26667,-299880,-55080
1,12,12,0,0,2.26667,-299880,-55080
1,12,13,0,0,2.26667,-299880,-55080
1,12,14,0,0,2.26667,-299880,-55080
1,12,15,0,0,0.072685,-9616.22,-1766.24
1,13,1,0,0,2.26667,-299880,-55080
1,13,2,0,0,2.26667,-299880,-55080
1,13,3,0,0,2.26667,-299880,-55080
1,13,4,0,0,2.26667,-299880,-55080
1,13,5,0,0,2.26667,-299880,-55080
1,13,6,0,0,2.26667,-299880,-55080
1,13,7,0,0,2.26667,-299880,-55080
1,13,8,0,0,2.26667,-299880,-55080
1,13,9,0,0,2.26667,-299880,-55080
1,13,10,0,0,2.26667,-299880,-55080
1,13,11,0,0,2.26667,-299880,-55080
1,13,12,0,0,2.26667,-299880,-55080
1,13,13,0,0,2.26667,-299880,-55080
1,13,14,0,0,2.26667,-299880,-55080
1,13,15,0,0,0.168161,-22247.8,-4086.32
1,14,1,0,0,2.26667,-299880,-55080
1,14,2,0,0,2.26667,-299880,-55080
1,14,3,0,0,2.26667,-299880,-55080
1,14,4,0,0,2.26667,-299880,-55080
1,14,5,0,0,2.26667,-299880,-55080
1,14,6,0,0,2.26667,-299880,-55080
1,14,7,0,0,2.26667,-299880,-55080
1,14,8,0,0,2.26667,-299880,-55080
1,14,9,0,0,2.26667,-299880,-55080
1,14,10,0,0,2.26667,-299880,-55080
1,14,11,0,0,2.26667,-299880,-55080
1,14,12,0,0,2.26667,-299880,-55080
1,14,13,0,0,2.26667,-299880,-55080
1,14,14,0,0,2.26667,-299880,-55080
1,14,15,0,0,0.257904,-34120.7,-6267.07
1,15,1,0,0,2.26667,-299880,-55080
1,15,2,0,0,2.26667,-299880,-55080
1,15,3,0,0,2.26667,-299880,-55080
1,15,4,0,0,2.26667,-299880,-55080
1,15,5,0,0,2.26667,-299880,-55080
1,15,6,0,0,2.26667,-299880,-55080
1,15,7,0,0,2.26667,-299880,-55080
1,15,8,0,0,2.26667,-299880,-55080
1,15,9,0,0,2.26667,-299880,-55080
1,15,10,0,0,2.26667,-299880,-55080
1,15,11,0,0,2.26667,-299880,-55080
1,15,12,0,0,2.26667,-299880,-55080
1,15,13,0,0,2.26667,-299880,-55080
1,15,14,0,0,2.26667,-299880,-55080
1,15,15,0,0,0.338832,-44827.4,-8233.61
1,16,1,0,0,2.26667,-299880,-55080
1,16,2,0,0,2.26667,-299880,-55080
1,16,3,0,0,2.26667,-299880,-55080
1,16,4,0,0,2.26667,-299880,-55080
1,16,5,0,0,2.26667,-299880,-55080
1,16,6,0,0,2.26667,-299880,-55080
1,16,7,0,0,2.26667,-299880,-55080
1,16,8,0,0,2.26667,-299880,-55080
1,16,9,0,0,2.26667,-299880,-55080
1,16,10,0,0,2.26667,-299880,-55080
1,16,11,0,0,2.26667,-299880,-55080
1,16,12,0,0,2.26667,-299880,-55080
1,16,13,0,0,2.26667,-299880,-55080
1,16,14,0,0,2.26667,-299880,-55080
1,16,15,0,0,0.400548,-52992.5,-9733.31
1,17,1,0,0,2.26667,-299880,-55080
1,17,2,0,0,2.26667,-299880,-55080
1,17,3,0,0,2.26667,-299880,-55080
1,17,4,0,0,2.26667,-299880,-55080
1,17,5,0,0,2.26667,-299880,-55080
1,17,6,0,0,2.26667,-299880,-55080
1,17,7,0,0,2.26667,-299880,-55080
1,17,8,0,0,2.26667,-299880,-55080
